Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
568d557506360b9d7c100ac4df23734ed16cbf22f26e5a8612035c8019202bb6,2013-07,South Wales Police,South Wales Police,-3.095184,51.526591,On or near RAGLAN CLOSE,W01001878,Cardiff 011B,Investigation complete; no suspect identified
1f8290cdcd2a5e78020fa9defd2caa7b4fe5cd0c36d18e21b39f14f7ff225aef,2013-07,South Wales Police,South Wales Police,-3.435519,51.511590,On or near BLACKTHORN COURT,W01001192,Rhondda Cynon Taf 031B,Investigation complete; no suspect identified
0eb8fe747b6e332202e31048ff307ee1af0e520270293f05e5896fe9193d300a,2013-07,South Wales Police,South Wales Police,-3.135576,51.516199,On or near MENDIP ROAD,W01001806,Cardiff 015D,Investigation complete; no suspect identified
4599e5b687bfba4c06a9ed0db432523e5e502baf85102889515a6be30c365929,2013-07,South Wales Police,South Wales Police,-3.986287,51.617138,On or near CORY STREET,W01000861,Swansea 027D,Investigation complete; no suspect identified
ff0d8469c77c9b644acf377df161f29794bd8947d2118e815292e5edea1077b7,2013-07,South Wales Police,South Wales Police,-3.128967,51.501310,On or near BRACHDY CLOSE,W01001865,Cardiff 022C,Investigation complete; no suspect identified
5e37fcbeff00d0dca80455d1a26caa7c00e27c9bf51f4e999fb093d88ea98b04,2013-07,South Wales Police,South Wales Police,-3.140193,51.482354,On or near WILLOWS AVENUE,W01001871,Cardiff 037B,Investigation complete; no suspect identified
eee962d0bca0d29e64ab46171040ae50e3b409c35024f83f99b8b34c61f78a6b,2013-07,South Wales Police,South Wales Police,-3.975301,51.650200,On or near STEMBRIDGE AVENUE,W01000830,Swansea 011A,Investigation complete; no suspect identified
c6a0f5d8268275f1d51e7f7d9b19effae84c812624aaa589d018e31831167fbb,2013-07,South Wales Police,South Wales Police,-3.369252,51.668347,On or near BRYNHEULOG,W01001209,Rhondda Cynon Taf 008A,Investigation complete; no suspect identified
1d7ea6a461ba9d0f0e3ae336ebe45737f7282acb169d62add4061c15791e2be4,2013-07,South Wales Police,South Wales Police,-3.187192,51.478786,On or near DESPENSER STREET,W01001856,Cardiff 042B,Investigation complete; no suspect identified
4b431296295287e972980320715e4efbca58542ced7519acef9dfaf1cd1377ef,2013-07,South Wales Police,South Wales Police,-3.305500,51.663930,On or near EDWARD STREET,W01001322,Merthyr Tydfil 007E,Investigation complete; no suspect identified
1fff42bc68ed20f14b0070c7e0059d1e18fa30826734ff8cc9833e4fd90b7626,2013-07,South Wales Police,South Wales Police,-3.430744,51.648344,On or near EDMUND STREET,W01001276,Rhondda Cynon Taf 013D,Investigation complete; no suspect identified
817cc29b8ce4374e9d42ba0915e08d44651c1ad4405fc7d58e63b7f2da3e56db,2013-07,South Wales Police,South Wales Police,-3.408920,51.754117,On or near BRO-Y-FFRWD,W01001292,Merthyr Tydfil 004A,Investigation complete; no suspect identified
f238f4937a1fa71d5d20527b26097b0b3cc21dc566a0baf0f59d0484e6d7e108,2013-07,South Wales Police,South Wales Police,-3.469278,51.625505,On or near JONES STREET,W01001167,Rhondda Cynon Taf 016B,Investigation complete; no suspect identified
