Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d3ea46ecf4aad35563ea69a37885f7805fb7c3980d7e100c9ff39c0983457393,2013-03,South Wales Police,South Wales Police,-3.408027,51.516859,On or near LLANHARRY ROAD,W01001223,Rhondda Cynon Taf 031C,Investigation complete; no suspect identified
bb908a7433254abd97e2f0291b73068451bce2d13f6080a0263f1d1a7c184342,2013-03,South Wales Police,South Wales Police,-3.364166,51.523933,On or near Petrol Station,W01001224,Rhondda Cynon Taf 031D,Investigation complete; no suspect identified
c538bfa92169146de0e450306c25ddb92e66bd96a6efa9cf6e2460357c7840f6,2013-03,South Wales Police,South Wales Police,-3.360808,51.525905,On or near Shopping Area,W01001225,Rhondda Cynon Taf 031E,Investigation complete; no suspect identified
b11d0ae540863d96e6a11983ebf93d28a904e5e4cc0dae6a4c57e703d22a50e5,2013-03,South Wales Police,South Wales Police,-3.391190,51.524290,On or near SCHOOL STREET,W01001226,Rhondda Cynon Taf 031F,Investigation complete; no suspect identified
9a676783590047a38ea4a3f309693860f30a9c0ee007672ed8f7f4327f28c11d,2013-03,South Wales Police,South Wales Police,-3.346705,51.603848,On or near HURFORD CRESCENT,W01001227,Rhondda Cynon Taf 021C,Investigation complete; no suspect identified
58983e7525b232b3679f4c1b81cb9ce6da7464e2d06693976ef9eac1555cc871,2013-03,South Wales Police,South Wales Police,-3.339155,51.605895,On or near MORGAN STREET,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
5c953f25f854e8dcc775207c32fa7a0c0083dff1369ea53599d7fca0d097196f,2013-03,South Wales Police,South Wales Police,-3.338675,51.606746,On or near YNYS-GYFEILLON ROAD,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
16eb649282365786dc1eab5571f9bbfce692334eeb8c46cfb3df2dcd53ea836a,2013-03,South Wales Police,South Wales Police,-3.340467,51.604342,On or near CROSSBROOK STREET,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
f042886d25920dc110c35785166a293b5f21f6513bca155f1691e4f9bc8feb1d,2013-03,South Wales Police,South Wales Police,-3.340306,51.602789,On or near TAFF STREET,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
c958d0e1c67f839175ce4d2d577ecf03768695780ed75933d15f9717a682b9c0,2013-03,South Wales Police,South Wales Police,-3.339155,51.605895,On or near MORGAN STREET,W01001228,Rhondda Cynon Taf 021D,Suspect charged
a5df6bc931fd21c20b89849decdc246f7b4a2908a5382f64428297ed5112f5bd,2013-03,South Wales Police,South Wales Police,-3.340454,51.603398,On or near PENUEL LANE,W01001228,Rhondda Cynon Taf 021D,Offender given a caution
17164411dae4a930840d38abc123bb8402c07341a39b609a1fbaa1249ce45f27,2013-03,South Wales Police,South Wales Police,-3.335595,51.610530,On or near GRAIGYRHESG PLACE,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
05cb18e7cb6911e8d6c8d0c1fbf04b32205a051bed1d71cc006574822f40c1b2,2013-03,South Wales Police,South Wales Police,-3.339285,51.605381,On or near Police Station,W01001228,Rhondda Cynon Taf 021D,Suspect charged
05cb18e7cb6911e8d6c8d0c1fbf04b32205a051bed1d71cc006574822f40c1b2,2013-03,South Wales Police,South Wales Police,-3.339285,51.605381,On or near Police Station,W01001228,Rhondda Cynon Taf 021D,Suspect charged
4b42c6bc91de48c4198b363621046b33223c2c62a816a59062db991d6a97f09b,2013-03,South Wales Police,South Wales Police,-3.339155,51.605895,On or near MORGAN STREET,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
91e44e34681a8ab3c1579ff0ae0e2c51d8f1966817fe4b4799d9feb0591d1d5b,2013-03,South Wales Police,South Wales Police,-3.339155,51.605895,On or near MORGAN STREET,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
6a21e9ddfb14c614c89ea92e68730b3c97de032b34cfb175f10ff0f065a9b006,2013-03,South Wales Police,South Wales Police,-3.407004,51.613580,On or near YORK STREET,W01001229,Rhondda Cynon Taf 017B,Investigation complete; no suspect identified
1518601d809a122644515b498cf6286809f0d316d7819b1ae2171c42b43a91a0,2013-03,South Wales Police,South Wales Police,-3.398216,51.611959,On or near HEATHER WAY,W01001231,Rhondda Cynon Taf 017D,Investigation complete; no suspect identified
859fc3e2959f423e4ab10ca9116105b2feb93c951f116fe44724691391d20760,2013-03,South Wales Police,South Wales Police,-3.404867,51.610783,On or near Parking Area,W01001231,Rhondda Cynon Taf 017D,Investigation complete; no suspect identified
3d3458e23e307c25c2e31f64c475c521764c9aa44b5b6732c565b4be8d489ddd,2013-03,South Wales Police,South Wales Police,-3.402122,51.610762,On or near Petrol Station,W01001231,Rhondda Cynon Taf 017D,Suspect charged
fdc9ff43a7c285bdd1dc14a2016520fe2b8a2c3ce2f62708ed70bfbe34ce6071,2013-03,South Wales Police,South Wales Police,-3.397421,51.612877,On or near ST LUKE'S ROAD,W01001231,Rhondda Cynon Taf 017D,Investigation complete; no suspect identified
3e48c755e3cb5ad97ae5c82a4e9f125e35ad49d23a88cb89f15f06b88dc9b72c,2013-03,South Wales Police,South Wales Police,-3.410822,51.612824,On or near CYMMER ROAD,W01001232,Rhondda Cynon Taf 020D,Investigation complete; no suspect identified
6e528bbf726522d025eeff840f701260bea0d3569299ddb12008cbd08f4da6f0,2013-03,South Wales Police,South Wales Police,-3.419102,51.614343,On or near CYMMER ROAD,W01001232,Rhondda Cynon Taf 020D,Investigation complete; no suspect identified
c130f8e386612d960f2e11efde927f7b41d072964bb83c9e48432b804a0eb916,2013-03,South Wales Police,South Wales Police,-3.423231,51.614734,On or near ASHFIELD CLOSE,W01001232,Rhondda Cynon Taf 020D,Investigation complete; no suspect identified
8bf239334333c9e1cc80d9d83be7a4e611517a4cb881effed96df7f791011ae9,2013-03,South Wales Police,South Wales Police,-3.413145,51.613192,On or near PARK CRESCENT,W01001232,Rhondda Cynon Taf 020D,Investigation complete; no suspect identified
8bf239334333c9e1cc80d9d83be7a4e611517a4cb881effed96df7f791011ae9,2013-03,South Wales Police,South Wales Police,-3.413145,51.613192,On or near PARK CRESCENT,W01001232,Rhondda Cynon Taf 020D,Investigation complete; no suspect identified
