Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7f7c88100eda9342ceaef08ad8665b82857d75060919783c2b8b1c8b366b59f8,2013-02,South Wales Police,South Wales Police,-3.172704,51.468609,On or near OVERSTONE COURT,W01001952,Cardiff 049F,Investigation complete; no suspect identified
91f07e62a57738d6f6038ee8753d159dfc0a60fe2a49d4e975e152549e642878,2013-02,South Wales Police,South Wales Police,-3.942052,51.621098,On or near CASTLE STREET,W01001955,Swansea 025F,Investigation complete; no suspect identified
aef7eae5c00488ffca4a555afd98bf8343c1b383f2c9ab25201d207046904777,2013-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
2db8b4e8fc6d2ba43bbf330084bbf2b6649adb3d00177ac2a31952b9d4779a23,2013-02,South Wales Police,South Wales Police,-3.924890,51.662036,On or near MORFYDD STREET,W01000812,Swansea 008C,Investigation complete; no suspect identified
24e3cbda981a5116f45fef62dbe802153f205c0a18b83cf0c73a7e2c0a8d8c18,2013-02,South Wales Police,South Wales Police,-3.681857,51.528701,On or near MEADOW AVENUE,W01001050,Bridgend 008D,Investigation complete; no suspect identified
da4df9cee50c63cef1f6c21a13b5da1ad7bf9ad8d2125a064eba19ae5b201962,2013-02,South Wales Police,South Wales Police,-3.257376,51.423697,On or near EITHINEN BER,W01001072,The Vale of Glamorgan 009E,Investigation complete; no suspect identified
68f0074d20791a9b097129442220fe8ab5ea52f28a2ef1833a91ea0cd9a8e307,2013-02,South Wales Police,South Wales Police,-3.178868,51.442443,On or near HARBOUR VIEW ROAD,W01001125,The Vale of Glamorgan 005D,Investigation complete; no suspect identified
5eeb1314dd07ed6b1418cc14fba1b192f65950bbe1772e48973ee4e9417907b5,2013-02,South Wales Police,South Wales Police,-3.418823,51.693340,On or near Sports/Recreation Area,W01001142,Rhondda Cynon Taf 005F,Investigation complete; no suspect identified
59a90781421d42e093bf2f88aad9cf6fb252a2568ff4f52bda6595cc7d3d3afe,2013-02,South Wales Police,South Wales Police,-3.340526,51.684710,On or near BRYNGOLEU,W01001303,Merthyr Tydfil 006C,Investigation complete; no suspect identified
2a0cf603330c712e50e9533afee9fdc3020484a462ee99a34640807f3503ddbc,2013-02,South Wales Police,South Wales Police,-3.198076,51.499006,On or near BEVAN PLACE,W01001756,Cardiff 025B,Investigation complete; no suspect identified
37f0036bd33ecfc0a8f0c5b31e66c6f4ebf50136422b3365909ca905204acdd2,2013-02,South Wales Police,South Wales Police,-3.205413,51.503534,On or near GILBERT PLACE,W01001787,Cardiff 023C,Investigation complete; no suspect identified
22fc7f8908ccfbe60da7030d09e6e52d59e7e912731957594aa955641633143e,2013-02,South Wales Police,South Wales Police,-3.173009,51.505203,On or near LADY MARY ROAD,W01001827,Cardiff 024C,Investigation complete; no suspect identified
b37632e07b6615a1ef864dc7b572a3cd971ace5884859ab95a4f790a8ba95c45,2013-02,South Wales Police,South Wales Police,-3.130679,51.509332,On or near NEWPORT ROAD,W01001864,Cardiff 022B,Investigation complete; no suspect identified
eaccfc35d91fa81687a70f3130df29064e2ee2dec5e607d738dd662056d15cbd,2013-02,South Wales Police,South Wales Police,-3.178743,51.475571,On or near Pedestrian Subway,W01001952,Cardiff 049F,Investigation complete; no suspect identified
1d11f002f148171dd6c326ff727a6305721e3044d96c2c51736ea95d9f4f8615,2013-02,South Wales Police,South Wales Police,-3.935247,51.620069,On or near Supermarket,W01001958,Swansea 025H,Investigation complete; no suspect identified
8a64d9592028da8ff233bf5ea07081419331a0a6fd7df1ed07ef6afd1faa9c7f,2013-02,South Wales Police,South Wales Police,-3.949329,51.646939,On or near HOLLETT ROAD,W01000821,Swansea 009E,Investigation complete; no suspect identified
3330fe510a384a60baad27ada7fedac768663d9d1d9bfecb48b109fc0d8efbaa,2013-02,South Wales Police,South Wales Police,-3.706943,51.521405,On or near CAROLINE AVENUE,W01001000,Bridgend 010B,Investigation complete; no suspect identified
c5add9b233e3885eac23d382c25f8e9c16421a0f2a277215ff775c8eab5a5926,2013-02,South Wales Police,South Wales Police,-3.454029,51.410352,On or near EAGLE ROAD,W01001108,The Vale of Glamorgan 014A,Investigation complete; no suspect identified
28fa9429b638d6e3187ebdea3da43045b29939d3bab1cc02998359d43a9152e9,2013-02,South Wales Police,South Wales Police,-3.481811,51.731605,On or near AWELFRYN,W01001222,Rhondda Cynon Taf 001E,Investigation complete; no suspect identified
fb8a437578f394634a7a7b18d2ed25cdfdde9696b2456f9985b622c9ccdbf222,2013-02,South Wales Police,South Wales Police,-3.340454,51.603398,On or near PENUEL LANE,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
29bbcf09759ab9211c83e2d467d3fb6d6e51d441d2fb624474c64bbc6808a573,2013-02,South Wales Police,South Wales Police,-3.321628,51.661159,On or near WINDSOR ROAD,W01001320,Merthyr Tydfil 007C,Investigation complete; no suspect identified
80838ed4ecf64d455ffd3ef9a5ee00db12dd8de97bdce2146d0b011287aeefca,2013-02,South Wales Police,South Wales Police,-3.215870,51.485532,On or near VICTORIA AVENUE,W01001717,Cardiff 035D,Investigation complete; no suspect identified
9dd18ac59e39559ccd5251aadd540146b7b4d8e0f305a283f3f7c625def1d12f,2013-02,South Wales Police,South Wales Police,-3.245269,51.499953,On or near Pedestrian Subway,W01001748,Cardiff 027B,Investigation complete; no suspect identified
82952a2ffb1c0f8b24e3c7cd964247198dbacadb9f134be94b45a4a6ac3239e6,2013-02,South Wales Police,South Wales Police,-3.170297,51.493253,On or near Supermarket,W01001839,Cardiff 030E,Investigation complete; no suspect identified
c618e4b30055353a3d4585c51a35bd2daaecd50ed34bb55b5dd8b705f5b4a0b9,2013-02,South Wales Police,South Wales Police,-3.241433,51.525243,On or near LONGWOOD DRIVE,W01001895,Cardiff 010D,Investigation complete; no suspect identified
57e441f7227a339d382e24b91a2f19fecf909db6f6b1e97863176ec9be8937b5,2013-02,South Wales Police,South Wales Police,-3.181057,51.489899,On or near Pedestrian Subway,W01001939,Cardiff 032F,Investigation complete; no suspect identified
58dfbc1d636935632645643f989788b610b3799ebaa9ffafd780d2152d62752b,2013-02,South Wales Police,South Wales Police,-3.186306,51.458518,On or near Shopping Area,W01001947,Cardiff 048E,Investigation complete; no suspect identified
281a3afe903aa08996ae3810f50e1df66b33ab04febb80b9503efc7ccb46a794,2013-02,South Wales Police,South Wales Police,-3.947793,51.618863,On or near Shopping Area,W01001955,Swansea 025F,Investigation complete; no suspect identified
0d3cc660bd456f82ae5ab92dfb7359b147d23a097e6fd574783c2340cb2d75c4,2013-02,South Wales Police,South Wales Police,-3.965966,51.648604,On or near HEOL EMRYS,W01000832,Swansea 011B,Investigation complete; no suspect identified
782a2d34c09090d492d8ab9b4339c6804446f62899bc97486f8fe7907c9d9544,2013-02,South Wales Police,South Wales Police,-4.030612,51.717833,On or near GLYNTEG ROAD,W01000847,Swansea 001C,Investigation complete; no suspect identified
2a3b9c10cfe4de9c799e17e536fee06b26a08b6c9de7624ca30c90709ab65695,2013-02,South Wales Police,South Wales Police,-3.823423,51.627668,On or near M4,W01000897,Neath Port Talbot 013D,Investigation complete; no suspect identified
b458c8628f46847c9d5c51657f26819c1ec59685c04c779e6005be340f9e6f5c,2013-02,South Wales Police,South Wales Police,-3.570196,51.512633,On or near TEILOS DRIVE,W01000981,Bridgend 016B,Investigation complete; no suspect identified
1a37453dcc1c0c26fe7ce955926f1a8b975169e6a3e2bc9417ef4315e0b2281f,2013-02,South Wales Police,South Wales Police,-3.688619,51.529871,On or near PISGAH STREET,W01001050,Bridgend 008D,Investigation complete; no suspect identified
11c27a4d6e91bc25035161297bb99b4493f1d1627c49f9f644696ab5b7f38673,2013-02,South Wales Police,South Wales Police,-3.630270,51.461951,On or near HAZELWOOD,W01001127,The Vale of Glamorgan 001B,Investigation complete; no suspect identified
3a48425ef298e5e7fa8c9d18ff3b2f88f2d59bd231203a6dbefbe6e2804c58b7,2013-02,South Wales Police,South Wales Police,-3.479235,51.732977,On or near BRODAWEL,W01001222,Rhondda Cynon Taf 001E,Investigation complete; no suspect identified
b6592f182fcbee0d90bfbd7f6097d166d663d8ebe7540b24e78b189dd45f8420,2013-02,South Wales Police,South Wales Police,-3.354087,51.555890,On or near GARTH VIEW,W01001279,Rhondda Cynon Taf 028F,Investigation complete; no suspect identified
eab54ed2b31d7388d2fd434fd961bc0fdc91bc08f7f28e9d768b207a7f7b7251,2013-02,South Wales Police,South Wales Police,-3.374956,51.744440,On or near CROSS THOMAS STREET,W01001315,Merthyr Tydfil 004D,Investigation complete; no suspect identified
80831606352373f0faf429eeee281f4c93dfea5c97948e87b5966aadd5f15bd7,2013-02,South Wales Police,South Wales Police,-3.164147,51.485949,On or near OXFORD LANE,W01001835,Cardiff 033F,Investigation complete; no suspect identified
76479c20dd2b6f282de147050372f9ce0919472deb92272e2929d81f02e02ea5,2013-02,South Wales Police,South Wales Police,-3.116545,51.500584,On or near WENTLOOG AVENUE,W01001865,Cardiff 022C,Investigation complete; no suspect identified
6164aceee3cc242e2d4fc513ae4f48fe0a31b47652e40fa1687d3d184f8053dd,2013-02,South Wales Police,South Wales Police,-3.172859,51.483651,On or near WINDSOR LANE,W01001939,Cardiff 032F,Investigation complete; no suspect identified
1db9986bfc30b8b681386be9b6e7a7d20a651fecee3d0311579d18a0d46e570f,2013-02,South Wales Police,South Wales Police,-3.173712,51.473121,On or near CANAL PARADE,W01001952,Cardiff 049F,Investigation complete; no suspect identified
4dc265773d46c090e67afde49f6922ba708862b683b148f7d62310aaff0c1397,2013-02,South Wales Police,South Wales Police,-3.892297,51.661298,On or near Petrol Station,W01000797,Swansea 010B,Investigation complete; no suspect identified
dace484bff82ca59fb4291f28298609ab147ab751db9b23d0e943bd7c6c933f4,2013-02,South Wales Police,South Wales Police,-3.822551,51.662140,On or near Supermarket,W01000922,Neath Port Talbot 007C,Investigation complete; no suspect identified
23911fa9611350620b28ecedd88e530cc2c77ab3bc2e99c4f2984b3b5e1d3965,2013-02,South Wales Police,South Wales Police,-3.801636,51.655386,On or near LEWIS ROAD,W01000941,Neath Port Talbot 012B,Investigation complete; no suspect identified
860eb612a41e534e2dffed2c3765040e6e36e66649fb00665eb5538320cc2c86,2013-02,South Wales Police,South Wales Police,-3.641218,51.531524,On or near BRYN GLAS,W01000996,Bridgend 008A,Investigation complete; no suspect identified
be41e98b4cb8b78268099ffd69e942aa05d971b20e80d9f10f0ddfee3e8e41d5,2013-02,South Wales Police,South Wales Police,-3.193135,51.437218,On or near ST CYRES CLOSE,W01001077,The Vale of Glamorgan 004C,Investigation complete; no suspect identified
ac7efc265649623277eaa029451a744b272842587b8a90bf3619149f1b64434c,2013-02,South Wales Police,South Wales Police,-3.379551,51.535065,On or near ASH WALK,W01001243,Rhondda Cynon Taf 030E,Investigation complete; no suspect identified
041a56673af5033da5da3d6b06ec36f3b677ca773af1814846abeb9f528803d6,2013-02,South Wales Police,South Wales Police,-3.245803,51.482547,On or near ARCHER CRESCENT,W01001737,Cardiff 039A,Investigation complete; no suspect identified
11e512165fd8e01dd8154fb0795ae45a17a60bbd6e81a565ce1a49bde6d2d5f3,2013-02,South Wales Police,South Wales Police,-3.200828,51.514354,On or near DALE AVENUE,W01001775,Cardiff 021B,Investigation complete; no suspect identified
88ad47bb3ca6176025670dd6c6ce43a21958b0c324861aa1b86ca30276b67699,2013-02,South Wales Police,South Wales Police,-3.130874,51.531756,On or near WAIN CLOSE,W01001843,Cardiff 003C,Investigation complete; no suspect identified
dac0f82c1e84998a1bd3ba8b8215ad91b9337f3397bced0ee84e7eddd5dbeba0,2013-02,South Wales Police,South Wales Police,-3.206341,51.510314,On or near HEOL DOLWEN,W01001890,Cardiff 021D,Investigation complete; no suspect identified
1701e967d8130badb5146abf9a4a2265adfd8d59484197640515131353ef761f,2013-02,South Wales Police,South Wales Police,-3.937728,51.618957,On or near SOMERSET PLACE,W01001938,Swansea 025E,Investigation complete; no suspect identified
806eec58a9bbe938ac363ee267587f2876138f55a89543865bd0ad39cc8ca234,2013-02,South Wales Police,South Wales Police,-3.184403,51.457827,On or near FFORDD JAMES MCGHAN,W01001947,Cardiff 048E,Investigation complete; no suspect identified
