Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d765f3fe289464d035177af99eac1d8ce1f1d0ce4c79804b5f0c61825a7b1b33,2013-10,South Wales Police,South Wales Police,-3.214725,51.484735,On or near ETHEL STREET,W01001717,Cardiff 035D,Investigation complete; no suspect identified
fbac25df72b04d4d95c73903c3346c1e626eaa89b3a6f797d28bc6ed84dbc89a,2013-10,South Wales Police,South Wales Police,-3.190053,51.452581,On or near GRANGEMOOR COURT,W01001947,Cardiff 048E,Investigation complete; no suspect identified
5c4a16ef348cd319b118086185603dca53ee1b0baa1fed1777b1ab0c6940b571,2013-10,South Wales Police,South Wales Police,-3.599626,51.509385,On or near BEECHWOOD AVENUE,W01001027,Bridgend 017C,Investigation complete; no suspect identified
73cc1011b94b799ed736eedc83f03a21224a9382a7ede81fba39d8c43371863d,2013-10,South Wales Police,South Wales Police,-3.930900,51.671775,On or near HEOL EIRLYS,W01000808,Swansea 003C,Investigation complete; no suspect identified
26b7f6b8e2d833e79faf3de50e0b03c610e17a9388d2fc1d8ddfff315032ccd8,2013-10,South Wales Police,South Wales Police,-3.827094,51.661476,On or near MONASTERY ROAD,W01000923,Neath Port Talbot 007D,Investigation complete; no suspect identified
43e9e282872b12cda3d51c86da602d11765ea9357d209af9bb1f925a953af77b,2013-10,South Wales Police,South Wales Police,-3.444109,51.709550,On or near THE CLOSE,W01001149,Rhondda Cynon Taf 003A,Investigation complete; no suspect identified
28bcd1efa8234ee34e776d919e22b07c96e4654103c48bbc99c386ce020fe3c8,2013-10,South Wales Police,South Wales Police,-3.182256,51.442697,On or near CHICHESTER ROAD,W01001126,The Vale of Glamorgan 005E,Investigation complete; no suspect identified
ea80220a899815c7161ffb62afb648ba2d92ccb709d8a124733c76224d2d8d21,2013-10,South Wales Police,South Wales Police,-3.186306,51.458518,On or near Shopping Area,W01001947,Cardiff 048E,Investigation complete; no suspect identified
955e0453b3aee6d84b067b0549feea1cd1cbfa8ad20d1eae30db87dd63073d29,2013-10,South Wales Police,South Wales Police,-3.182446,51.469005,On or near LLANBRADACH STREET,W01001768,Cardiff 044E,Investigation complete; no suspect identified
19b3dfca7666dc132a611b0ffd6fab60bd98b4bdbf9e2b3cad99e0eb88759ddc,2013-10,South Wales Police,South Wales Police,-3.225579,51.489361,On or near INSOLE PLACE,W01001782,Cardiff 026D,Investigation complete; no suspect identified
faa379614c0475e242f3cf86b9c5436b458fe5ee50b6ca8a434f8e746094cac4,2013-10,South Wales Police,South Wales Police,-3.157737,51.485320,On or near CLIFTON STREET,W01001694,Cardiff 036A,Investigation complete; no suspect identified
056c34ac882d49daa085ec4a10056a466fdc742d0c1afb6a8c66d1b3489de9fe,2013-10,South Wales Police,South Wales Police,-3.287660,51.396356,On or near CLIFTON STREET,W01001062,The Vale of Glamorgan 013A,Investigation complete; no suspect identified
de916ffb34f9c62a325643cd02ace137db1aa7935d3593e58d29162c21c12a50,2013-10,South Wales Police,South Wales Police,-3.811694,51.606340,On or near RHODFA'R GLWYSTI,W01000883,Neath Port Talbot 016A,Investigation complete; no suspect identified
fe1b7a6bd44cae5f7f77ec0c2778cb4bd43de4df575b38d6b3a31cb8bc04b671,2013-10,South Wales Police,South Wales Police,-3.940116,51.619745,On or near GREEN DRAGON LANE,W01001955,Swansea 025F,Investigation complete; no suspect identified
